SampleName	SampleID	AssemblyGroup	FastqFile
HS032	HS032	HS032	HS032_S83_L004
HS033	HS033	HS033	HS033_S84_L004
HS034	HS034	HS034	HS034_S85_L004
HS035	HS035	HS035	HS035_S86_L004
HS036	HS036	HS036	HS036_S87_L004
HS037	HS037	HS037	HS037_S88_L004
HS038	HS038	HS038	HS038_S89_L004
HS039	HS039	HS039	HS039_S90_L004
HS040	HS040	HS040	HS040_S91_L004
HS041	HS041	HS041	HS041_S92_L004
HS042	HS042	HS042	HS042_S93_L004
HS043	HS043	HS043	HS043_S94_L004
HS044	HS044	HS044	HS044_S95_L004
HS045	HS045	HS045	HS045_S96_L004
HS046	HS046	HS046	HS046_S97_L004
HS047	HS047	HS047	HS047_S98_L004
HS048	HS048	HS048	HS048_S99_L004
HS049	HS049	HS049	HS049_S100_L004
HS050	HS050	HS050	HS050_S101_L004
HS051	HS051	HS051	HS051_S102_L004
HS052	HS052	HS052	HS052_S103_L004
HS053	HS053	HS053	HS053_S104_L004
HS054	HS054	HS054	HS054_S105_L004
HS055	HS055	HS055	HS055_S106_L004
HS056	HS056	HS056	HS056_S107_L004
HS057	HS057	HS057	HS057_S108_L004
HS058	HS058	HS058	HS058_S109_L004
HS059	HS059	HS059	HS059_S110_L004
HS060	HS060	HS060	HS060_S111_L004
