Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HS032_S83_L004_R1_001	HS032_S83_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38934799.0	3.8 Gbp	0.0	10-101	53.0	52.457744951844695	99.40060602341879	100	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
HS032_S83_L004_R2_001	HS032_S83_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38934799.0	3.8 Gbp	0.0	10-101	52.0	57.01105166929546	99.45744134957522	100	pass	pass	warn	pass	fail	warn	pass	warn	warn	fail	warn
HS033_S84_L004_R1_001	HS033_S84_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49246525.0	4.9 Gbp	0.0	10-101	53.0	38.87540614867223	99.490323713196	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS033_S84_L004_R2_001	HS033_S84_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49246525.0	4.9 Gbp	0.0	10-101	53.0	44.73987784696273	99.52623979052329	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS034_S85_L004_R1_001	HS034_S85_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43811525.0	4.3 Gbp	0.0	10-101	51.0	31.837825333663673	99.4675740230453	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS034_S85_L004_R2_001	HS034_S85_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43811525.0	4.3 Gbp	0.0	10-101	51.0	38.2661763388733	99.51341652681572	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS035_S86_L004_R1_001	HS035_S86_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40516985.0	4 Gbp	0.0	10-101	53.0	33.96967116410512	99.47399190734454	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS035_S86_L004_R2_001	HS035_S86_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40516985.0	4 Gbp	0.0	10-101	53.0	41.503476446609355	99.50787226640877	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS036_S87_L004_R1_001	HS036_S87_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40519805.0	4 Gbp	0.0	10-101	53.0	36.76682101942435	99.48462284060844	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS036_S87_L004_R2_001	HS036_S87_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40519805.0	4 Gbp	0.0	10-101	52.0	44.61768044099526	99.53903573820259	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS037_S88_L004_R1_001	HS037_S88_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36985188.0	3.6 Gbp	0.0	10-101	53.0	6.35069041485378	99.44178804769088	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
HS037_S88_L004_R2_001	HS037_S88_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36985188.0	3.6 Gbp	0.0	10-101	53.0	15.066840402920755	99.47941256916147	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS038_S89_L004_R1_001	HS038_S89_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46836365.0	4.6 Gbp	0.0	10-101	52.0	38.7708262748668	99.44140037340644	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS038_S89_L004_R2_001	HS038_S89_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46836365.0	4.6 Gbp	0.0	10-101	52.0	44.93108202332692	99.47922764714981	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS039_S90_L004_R1_001	HS039_S90_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54343580.0	5.4 Gbp	0.0	10-101	53.0	69.10404601746454	99.44108260810201	100	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
HS039_S90_L004_R2_001	HS039_S90_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54343580.0	5.4 Gbp	0.0	10-101	53.0	71.14725122382522	99.4761415791893	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	fail	warn
HS040_S91_L004_R1_001	HS040_S91_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43407566.0	4.3 Gbp	0.0	10-101	53.0	22.159114295736185	99.4762680773209	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS040_S91_L004_R2_001	HS040_S91_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43407566.0	4.3 Gbp	0.0	10-101	52.0	29.86070197236505	99.50681934112592	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS041_S92_L004_R1_001	HS041_S92_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54403283.0	5.4 Gbp	0.0	10-101	53.0	33.32022682082101	99.49586902687471	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS041_S92_L004_R2_001	HS041_S92_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54403283.0	5.4 Gbp	0.0	10-101	53.0	40.898792995451	99.52813568254695	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS042_S93_L004_R1_001	HS042_S93_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49363079.0	4.9 Gbp	0.0	10-101	53.0	29.468160936898556	99.45669758565911	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
