Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HS032_S83_L004_R1_001	47.542255048155305	53.0	99.40060602341879	100	9.090909090909092	38934799.0
HS032_S83_L004_R2_001	42.98894833070454	52.0	99.45744134957522	100	18.181818181818183	38934799.0
HS033_S84_L004_R1_001	61.12459385132777	53.0	99.490323713196	100	18.181818181818183	49246525.0
HS033_S84_L004_R2_001	55.26012215303727	53.0	99.52623979052329	100	27.27272727272727	49246525.0
HS034_S85_L004_R1_001	68.16217466633633	51.0	99.4675740230453	100	18.181818181818183	43811525.0
HS034_S85_L004_R2_001	61.7338236611267	51.0	99.51341652681572	100	27.27272727272727	43811525.0
HS035_S86_L004_R1_001	66.03032883589488	53.0	99.47399190734454	100	18.181818181818183	40516985.0
HS035_S86_L004_R2_001	58.496523553390645	53.0	99.50787226640877	100	27.27272727272727	40516985.0
HS036_S87_L004_R1_001	63.23317898057565	53.0	99.48462284060844	100	18.181818181818183	40519805.0
HS036_S87_L004_R2_001	55.38231955900474	52.0	99.53903573820259	100	27.27272727272727	40519805.0
HS037_S88_L004_R1_001	93.64930958514623	53.0	99.44178804769088	100	18.181818181818183	36985188.0
HS037_S88_L004_R2_001	84.93315959707924	53.0	99.47941256916147	100	27.27272727272727	36985188.0
HS038_S89_L004_R1_001	61.2291737251332	52.0	99.44140037340644	100	18.181818181818183	46836365.0
HS038_S89_L004_R2_001	55.06891797667308	52.0	99.47922764714981	100	27.27272727272727	46836365.0
HS039_S90_L004_R1_001	30.89595398253546	53.0	99.44108260810201	100	9.090909090909092	54343580.0
HS039_S90_L004_R2_001	28.852748776174778	53.0	99.4761415791893	100	18.181818181818183	54343580.0
HS040_S91_L004_R1_001	77.84088570426381	53.0	99.4762680773209	100	18.181818181818183	43407566.0
HS040_S91_L004_R2_001	70.13929802763495	52.0	99.50681934112592	100	27.27272727272727	43407566.0
HS041_S92_L004_R1_001	66.679773179179	53.0	99.49586902687471	100	18.181818181818183	54403283.0
HS041_S92_L004_R2_001	59.101207004549	53.0	99.52813568254695	100	27.27272727272727	54403283.0
HS042_S93_L004_R1_001	70.53183906310144	53.0	99.45669758565911	100	18.181818181818183	49363079.0
HS042_S93_L004_R2_001	63.464527382341984	52.0	99.49897383832155	100	27.27272727272727	49363079.0
HS043_S94_L004_R1_001	87.74370669979491	51.0	99.41462770053089	100	18.181818181818183	50144122.0
HS043_S94_L004_R2_001	78.01946012468821	50.0	99.46550106112139	100	27.27272727272727	50144122.0
HS044_S95_L004_R1_001	28.805651425608445	52.0	99.34781918506009	100	9.090909090909092	75347911.0
HS044_S95_L004_R2_001	26.05294392007326	52.0	99.38904870235885	100	9.090909090909092	75347911.0
HS045_S96_L004_R1_001	38.36838431550868	52.0	99.41429149323213	100	9.090909090909092	40130894.0
HS045_S96_L004_R2_001	35.172358734824826	51.0	99.44697349627945	100	18.181818181818183	40130894.0
HS046_S97_L004_R1_001	55.14222164197069	53.0	99.48555707891914	100	18.181818181818183	60124991.0
HS046_S97_L004_R2_001	49.73097047871512	53.0	99.52002520881874	100	18.181818181818183	60124991.0
HS047_S98_L004_R1_001	56.31834050418215	51.0	99.43538821510589	100	18.181818181818183	44004689.0
HS047_S98_L004_R2_001	50.550495241813884	51.0	99.45997350418725	100	27.27272727272727	44004689.0
HS048_S99_L004_R1_001	68.23156193971377	54.0	99.45353012625712	100	18.181818181818183	57451727.0
HS048_S99_L004_R2_001	61.81647771876818	53.0	99.4839058188799	100	18.181818181818183	57451727.0
HS049_S100_L004_R1_001	82.75052097504135	52.0	99.4178328869061	100	18.181818181818183	60735169.0
HS049_S100_L004_R2_001	75.92108552057466	52.0	99.44748305549294	100	18.181818181818183	60735169.0
HS050_S101_L004_R1_001	61.12159148728791	53.0	99.40602175449658	100	18.181818181818183	50282754.0
HS050_S101_L004_R2_001	55.62806844459375	53.0	99.44323041653605	100	27.27272727272727	50282754.0
HS051_S102_L004_R1_001	9.172365626058792	50.0	151.0	151	27.27272727272727	9682169.0
HS051_S102_L004_R2_001	6.598595156453726	51.0	151.0	151	9.090909090909092	9682169.0
HS052_S103_L004_R1_001	77.82672654686235	51.0	151.0	151	9.090909090909092	66706186.0
HS052_S103_L004_R2_001	77.83234807352719	52.0	151.0	151	27.27272727272727	66706186.0
HS053_S104_L004_R1_001	73.24997056149098	45.0	151.0	151	9.090909090909092	84803761.0
HS053_S104_L004_R2_001	73.03721016922697	46.0	151.0	151	27.27272727272727	84803761.0
HS054_S105_L004_R1_001	73.37357082250828	49.0	151.0	151	9.090909090909092	74186464.0
HS054_S105_L004_R2_001	73.40905157523292	49.0	151.0	151	27.27272727272727	74186464.0
HS055_S106_L004_R1_001	64.80622072086851	52.0	151.0	151	27.27272727272727	53786493.0
HS055_S106_L004_R2_001	65.29842551176506	53.0	151.0	151	27.27272727272727	53786493.0
HS056_S107_L004_R1_001	60.33041257189876	47.0	151.0	151	9.090909090909092	29067665.0
HS056_S107_L004_R2_001	60.9617821144251	47.0	151.0	151	27.27272727272727	29067665.0
HS057_S108_L004_R1_001	39.995153156367635	54.0	150.0	150	9.090909090909092	25912709.0
HS057_S108_L004_R2_001	36.39598929299434	54.0	150.0	150	18.181818181818183	25912709.0
HS058_S109_L004_R1_001	31.352098673450072	54.0	150.0	150	9.090909090909092	378392867.0
HS058_S109_L004_R2_001	29.731085289198802	54.0	150.0	150	9.090909090909092	378392867.0
